,car_type,firm,area,km,cost,year of prudaction,time of ad
651,משאיות,אינטרנשיונל - ספורט/כביש,גדרה יבנה והסביבה,7000,"30,000 ₪",2021,29 ימים 
652,משאיות,מיצובישי - קאנטר 6200 טון,גליל ועמקים,360000,"20,000 ₪",2000,8 ימים 
653,משאיות,איסוזו - ספורט/כביש,באר שבע והסביבה,113000,"18,000 ₪",2014,18 ימים 
654,משאיות,דאף - מוטוקרוס,קריות,15000,"15,000 ₪",2006,10 ימים 
655,משאיות,אינטרנשיונל - ספורט/כביש,תל אביב,16700,"15,990 ₪",2019,3 ימים 
656,משאיות,פורד - דו שימושי,רמת גן - גבעתיים,7400,"52,985 ₪",2021,2 ימים 
657,משאיות,אינטרנשיונל - דו שימושי,גדרה יבנה והסביבה,12000,"27,000 ₪",2020,3 ימים 
658,משאיות,איסוזו - סומו 0053 אוט דיזל 3.0 (120 כ’’ס),באר שבע והסביבה,420000,"60,000 ₪",2020,2 ימים 
659,משאיות,אינטרנשיונל - ספורט/כביש,בית שמש והסביבה,13000,"19,000 ₪",2018,6 ימים 
660,משאיות,מאן - Bb220,מושבים בצפון,143000,לא צויין,2006,0 דקות 
661,משאיות,מיצובישי - פוסו,פתח תקוה והסביבה,170000,לא צויין,2015,0 דקות 
662,משאיות,וולוו - FE,רעננה - כפר סבא,207000,לא צויין,2013,0 דקות 
663,משאיות,מאן - 15 טון,מושבים בשפלה,560000,"70,000 ₪",2009,0 דקות 
664,משאיות,וולוו - Fh 460 הייבר,מושבים בשרון,525000,"205,000 ₪",2015,0 דקות 
665,משאיות,מרצדס - אטגו 814,גדרה יבנה והסביבה,500000,"33,000 ₪",2001,0 דקות 
666,משאיות,רנו - 12 טון,באר שבע והסביבה,310000,לא צויין,2014,0 דקות 
667,משאיות,מאן - Tgm,חיפה וחוף הכרמל,240000,"1,000 ₪",2014,0 דקות 
