,firm,area,km,cost,year of prudaction,tracks,commercial,private
463,41,6,143000,19500,2004,0,0,0
464,210,11,43000,125000,2019,0,0,0
465,242,13,171000,29000,2008,0,0,0
466,42,13,144000,84000,2016,0,0,0
467,99,16,129000,118000,2017,0,0,0
468,100,23,75000,116000,2019,0,0,0
469,184,32,117000,40000,2013,0,0,0
470,114,13,177000,103000,2016,0,0,0
471,31,27,117000,200000,2018,0,0,0
472,43,13,11000,132000,2020,0,0,0
473,136,23,64000,103300,2019,0,0,0
475,210,5,14500,142000,2021,0,0,0
476,37,13,120000,82000,2019,0,0,0
477,84,26,56000,155000,2016,0,0,0
478,124,13,60000,95000,2017,0,0,0
479,121,19,135000,74000,2016,0,0,0
480,226,9,98304,64900,2016,0,0,0
481,210,13,100000,76000,2015,0,0,0
483,159,13,51400,126500,2020,0,0,0
484,143,18,3200,184000,2022,0,0,0
485,141,31,82000,85000,2021,0,0,0
486,121,18,204000,33000,2010,0,0,0
487,10,34,26000,116500,2020,0,0,0
488,121,29,28500,99000,2018,0,0,0
489,99,6,105000,91800,2015,0,0,0
490,134,26,165000,39800,2007,0,0,0
491,242,13,171000,29000,2008,0,0,0
492,141,23,10700,121500,2021,0,0,0
493,159,26,13000,160000,2020,0,0,0
494,78,26,89000,82000,2016,0,0,0
496,54,26,47000,172000,2020,0,0,0
497,121,13,152421,114000,2018,0,0,0
499,134,17,300000,38000,2008,0,0,0
501,93,19,33000,146500,2018,0,0,0
503,210,23,130000,80000,2016,0,0,0
504,160,10,50000,185000,2020,0,0,0
505,210,26,68000,117896,2019,0,0,0
506,99,16,155000,74900,2014,0,0,0
507,233,23,90000,44500,2015,0,0,0
508,78,4,88900,95000,2017,0,0,0
509,99,31,88000,118900,2017,0,0,0
510,78,2,198000,13000,2006,0,0,0
511,82,5,318000,115000,2010,0,0,0
512,99,28,262000,89000,2017,0,0,0
514,121,33,75000,93000,2018,0,0,0
515,53,19,74000,122000,2017,0,0,0
517,121,18,203000,31500,2010,0,0,0
518,80,4,194000,32000,2008,0,0,0
519,121,22,102000,55000,2015,0,0,0
520,210,15,18200,49000,2011,0,0,0
521,93,29,186000,67500,2013,0,0,0
522,6,33,160000,170000,2016,0,0,0
523,99,3,70140,118500,2017,0,0,0
524,5,23,112000,58000,2012,0,0,0
525,136,6,81000,77000,2016,0,0,0
526,93,3,85000,100000,2017,0,0,0
528,160,3,24000,193000,2020,0,0,0
530,53,22,170000,79500,2013,0,0,0
531,81,34,28000,120000,2020,0,0,0
532,206,15,257000,224580,2005,0,0,0
534,41,11,165231,31000,2007,0,0,0
535,99,26,113000,83000,2015,0,0,0
536,77,26,350000,18000,2003,0,0,0
537,11,22,89000,57000,2015,0,0,0
538,209,22,31000,135000,2021,0,0,0
539,160,28,42000,190000,2019,0,0,0
540,83,10,325000,35000,2000,0,0,0
541,26,30,300000,71499,2011,0,0,0
543,32,13,90000,135000,2013,0,0,0
544,91,16,38000,95000,2018,0,0,0
545,210,12,96500,80000,2016,0,0,0
546,129,21,270,49000,2012,0,0,0
547,206,15,257000,24580,2005,0,0,0
548,129,10,243000,29000,2007,0,0,0
549,6,12,386681,67000,2012,0,0,0
550,78,17,106000,95000,2016,0,0,0
552,27,23,150000,125000,2010,0,0,0
553,210,13,91000,76000,2016,0,0,0
554,184,32,59000,89000,2017,0,0,0
555,210,14,125000,50000,2011,0,0,0
557,129,22,169000,74000,2014,0,0,0
559,7,23,200000,49000,2008,0,0,0
560,210,28,39334,95000,2016,0,0,0
562,99,34,50000,30000,2014,0,0,0
563,6,3,90000,143000,2016,0,0,0
565,210,12,197000,67000,2016,0,0,0
567,31,29,90000,125000,2012,0,0,0
568,203,23,75000,202000,2017,0,0,0
570,78,15,180000,22000,2007,0,0,0
571,209,33,4900,134500,2021,0,0,0
572,78,5,70000,110000,2018,0,0,0
573,202,8,170000,45000,2010,0,0,0
574,99,17,189000,75000,2014,0,0,0
575,135,10,200000,29000,2004,0,0,0
578,115,16,144000,27500,2011,0,0,0
